n,time,stdv
2,6.993611653645833e-06,7.664085039292141e-07
4,4.744529724121094e-05,2.17536539922889e-05
8,0.0002608299255371094,3.2519455168967274e-05
16,0.0019154548645019531,0.00030087829574890326
32,0.013719638188680014,0.0003087911188367467
64,0.09879191716512044,0.002661015922256693
128,0.7509984175364176,0.004252302042623892
256,5.91339898109436,0.04083528073275778
