n,time(s),stdv
0,85.05094536145528,0.5703456415606774
2,17.109285354614258,0.12872110583740448
4,8.851749579111734,0.06709326040240803
8,7.246603329976399,0.03932069480581473
16,6.829965194066365,0.0674559290519059
32,6.673964977264404,0.006569733373913946
64,6.697631359100342,0.04281354006396542
128,6.634563128153483,0.020841573850012673
