s,time,stdv
2,4.455617189407349,0.010064792220658026
4,3.2191057205200195,0.011153225235675286
8,3.0229671796162925,0.02618824998277737
16,2.7836782137552896,0.007784056220406952
32,2.8322904904683432,0.026099348763414097
64,2.82383664449056,0.030034913046796043
